Time,AirTemp_Obs,AirTemp_CLM,RH_Obs,RH_CLM,Shortwave_Obs,Shortwave_CLM,Longwave_Obs,Longwave_CLM,AirPressure_Obs,AirPressure_CLM,Rainfall_Obs,Rainfall_CLM,Snowfall_Obs,Snowfall_CLM,SnowDepth_Echosounder_obs,SnowDepth_MSC_obs,SnowDepth_CLM,SWE_CLM,SCF_CLM,SoilTemp_2cm_Obs,SoilTemp_5cm_Obs,SoilTemp_10cm_Obs,SoilTemp_20cm_Obs,SnowLayerThickness_1,SnowLayerThickness_2,SnowLayerThickness_3,SnowLayerThickness_4,SnowLayerDensities_1,SnowLayerDensities_2,SnowLayerDensities_3,SnowLayerDensities_4,SnowLayerGrainRadii_1,SnowLayerGrainRadii_2,SnowLayerGrainRadii_3,SnowLayerGrainRadii_4,SnowThermalConductivities_1,SnowThermalConductivities_2,SnowThermalConductivities_3,SnowThermalConductivities_4,SnowLayerTemps_1,SnowLayerTemps_2,SnowLayerTemps_3,SnowLayerTemps_4,SnowIceContent_1,SnowIceContent_2,SnowIceContent_3,SnowIceContent_4,SnowLiquidWater_1,SnowLiquidWater_2,SnowLiquidWater_3,SnowLiquidWater_4,SoilTemp_1cm_CLM,SoilTemp_4cm_CLM,SoilTemp_9cm_CLM,SoilTemp_10cm_CLM,SoilTemp_16cm_CLM,SoilTemp_26cm_CLM,SoilTemp_40cm_CLM,SoilTemp_58cm_CLM,SoilTemp_80cm_CLM,SoilTemp_106cm_CLM,SoilTemp_136cm_CLM,SoilTemp_170cm_CLM,SoilTemp_208cm_CLM,SoilTemp_250cm_CLM,SoilTemp_299cm_CLM,SoilTemp_358cm_CLM,SoilTemp_427cm_CLM,SoilTemp_506cm_CLM,SoilTemp_595cm_CLM,SoilTemp_694cm_CLM,SoilTemp_803cm_CLM,TotalSoilMoisture_1cm_CLM,LiquidSoilMoisture_1cm_CLM,SoilMoisture_2cm_Obs,TotalSoilMoisture_4cm_CLM,LiquidSoilMoisture_4cm_CLM,SoilMoisture_5cm_Obs,TotalSoilMoisture_9cm_CLM,LiquidSoilMoisture_9cm_CLM,SoilMoisture_10cm_Obs,TotalSoilMoisture_16cm_CLM,LiquidSoilMoisture_16cm_CLM,SoilMoisture_20cm_Obs,TotalSoilMoisture_26cm_CLM,LiquidSoilMoisture_26cm_CLM,SoilPSI_1cm_CLM,SoilPSI_4cm_CLM,SoilPSI_9cm_CLM,SoilPSI_16cm_CLM,SoilPSI_26cm_CLM,SoilPSI_40cm_CLM,SoilPSI_58cm_CLM,SoilPSI_80cm_CLM,SoilPSI_106cm_CLM,SoilPSI_136cm_CLM,SoilPSI_170cm_CLM,SoilPSI_208cm_CLM,SoilPSI_250cm_CLM,SoilPSI_299cm_CLM,SoilPSI_358cm_CLM,SoilPSI_427cm_CLM,SoilPSI_506cm_CLM,SoilPSI_595cm_CLM,SoilPSI_694cm_CLM,SoilPSI_803cm_CLM,SoilIceContent_1cm_CLM,SoilIceContent_4cm_CLM,SoilIceContent_9cm_CLM,SoilIceContent_16cm_CLM,SoilIceContent_26cm_CLM,NEE_Obs,NEE_CLM,NEE_CLM_gC,CH4_Obs,CH4_CLM,NPP_CLM,GPP_CLM,EcosysResp_CLM,AR_CLM,HR_CLM,CO2Flux_CLM,SoilResp_CLM,RootResp_CLM
2015-09-24 00:00,-0.8,-0.799993896484352,97,94.9898147583008,NaN,303.460998535156,NaN,1.00000001335143e-10,100.95,100.99,NaN,0,NaN,1.07273478988645e-06,NaN,NaN,0.0446831174194813,12.2602319717407,1,NaN,NaN,NaN,NaN,0.019996665418148,0.0242820121347904,NaN,NaN,249.283355712891,296.326538085938,NaN,NaN,0.228444473266602,0.230100051879883,NaN,NaN,0.222475618124008,0.295086890459061,NaN,NaN,-1.06757202148435,-0.573736572265602,NaN,NaN,4.97293996810913,7.19218111038208,NaN,NaN,0.0118936374783516,0.00315402541309595,NaN,NaN,-6.10351560226263e-06,-6.10351560226263e-06,0.0817810058593977,0.0327087402343977,0.194116210937523,0.314477539062523,0.439355468750023,0.520104980468773,0.488336181640648,0.297906494140648,-0.0197509765624773,-0.379949951171852,-0.908575439453102,-1.6540588378906,-2.53494873046873,-3.5393127441406,-4.58258666992185,-5.59195556640623,-6.45889892578123,-7.0931457519531,-7.4880432128906,0.225817799568176,2.32232189178467,NaN,0.420309156179428,16.2672691345215,NaN,0.398485958576202,23.9091567993164,NaN,0.383128851652145,30.6503067016602,NaN,0.371155977249146,44.5387191772461,-0.0398668013513088,-0.0395046882331371,-0.0382154025137424,-0.0370242930948734,-0.0355705469846725,-0.0337224379181862,-0.0317008979618549,-0.029643090441823,-0.0274772308766842,-0.0259635169059038,-9.63313674926758,-15,-15,-15,-15,-15,-15,-15,-15,-15,2.01192927360535,0.499854266643524,0,0,0,NaN,3.69023817576248,4.43197604909074e-05,NaN,0.0478968978458097,-1.32595768347913,1.77127467116188e-11,3.69023030003817,1.32595768347913,2.96438294941704,13.5308730082166,3.1920434829727,1.32595768347913
2015-09-25 00:00,0,0.700006103515648,94,93.9862670898438,NaN,303.526000976563,NaN,1.00000001335143e-10,99.91,99.98,NaN,2.59232336929927e-07,NaN,4.81431470689131e-07,NaN,NaN,0.0420604050159454,12.1468706130981,1,NaN,NaN,NaN,NaN,0.0189039651304483,0.0257062222808599,NaN,NaN,245.153289794922,301.3388671875,NaN,NaN,0.248128799438477,0.236378707885742,NaN,NaN,0.216074228286743,0.302287995815277,NaN,NaN,-0.282690429687477,-0.153021240234352,NaN,NaN,4.45503759384155,7.52239370346069,NaN,NaN,0.177893608808517,0.22501902282238,NaN,NaN,-6.10351560226263e-06,-6.10351560226263e-06,0.0871520996093977,0.0348754882812727,0.162622070312523,0.244653320312523,0.331933593750023,0.392327880859398,0.372186279296898,0.228906250000023,-0.0139526367187273,-0.381079101562477,-0.906072998046852,-1.6455139160156,-2.5211242675781,-3.5207580566406,-4.56040039062498,-5.56830444335935,-6.43680419921873,-7.07559814453123,-7.47720947265623,0.231873989105225,2.40961694717407,NaN,0.419547855854034,16.5376110076904,NaN,0.402288794517517,24.1373271942139,NaN,0.384982109069824,30.7985687255859,NaN,0.37160262465477,44.5923156738281,-0.0358394645154476,-0.0355617068707943,-0.0355975329875946,-0.0356000289320946,-0.0352080427110195,-0.0340073481202126,-0.032164890319109,-0.0300321932882071,-0.0277707688510418,-0.0263579953461885,-9.27889251708984,-15,-15,-15,-15,-15,-15,-15,-15,-15,2.04295015335083,0.2240269780159,0,0,0,NaN,3.7550790140213,4.50984989583958e-05,NaN,0.049724915645852,-1.39296116534271,1.75519896350777e-11,3.75507204703441,1.39296116534271,2.98931052560122,13.7686226191301,3.21679052332266,1.39296116534271
2015-09-26 00:00,-0.1,-0.399999999999977,82,83.9694595336914,NaN,278.444000244141,NaN,1.00000001335143e-10,98.51,98.5,NaN,0,NaN,0,NaN,NaN,0.041887991130352,12.1973352432251,1,NaN,NaN,NaN,NaN,0.016409445554018,0.0256673991680145,NaN,NaN,247.683822631836,316.11376953125,NaN,NaN,0.342051116943359,0.288834289550781,NaN,NaN,0.22007143497467,0.328641176223755,NaN,NaN,-1.25302734374998,-0.348638916015602,NaN,NaN,4.0077953338623,7.93984317779541,NaN,NaN,0.0564971230924129,0.173969373106956,NaN,NaN,-6.10351560226263e-06,-6.10351560226263e-06,0.000909423828147737,0.000360107421897737,0.0899597167968977,0.169519042968773,0.245812988281273,0.296685791015648,0.282708740234398,0.173242187500023,-0.0189270019531023,-0.380743408203102,-0.902990722656227,-1.63739624023435,-2.50766601562498,-3.50247802734373,-4.53854980468748,-5.54495849609373,-6.4149230957031,-7.0581115722656,-7.46637573242185,0.2530417740345,2.2882354259491,NaN,0.423737496137619,16.1601886749268,NaN,0.397564440965652,23.8538665771484,NaN,0.382786273956299,30.6229019165039,NaN,0.370918065309525,44.5101661682129,-0.0416048988699913,-0.041204709559679,-0.0388821847736835,-0.0372945107519627,-0.0357653386890888,-0.0340756773948669,-0.0322589948773384,-0.0302779413759708,-0.0280967634171247,-0.0268530752509832,-8.95406246185303,-15,-15,-15,-15,-15,-15,-15,-15,-15,2.54247403144836,0.72379869222641,0,0,0,NaN,3.57187391508085,4.2898205720121e-05,-0.003551,0.0492643117529587,-1.18539989673534,1.82478803612041e-11,3.57187209760601,1.18539989673534,2.93026137383628,13.0968716120114,3.15729669604658,1.18539989673534
2015-09-27 00:00,-1.7,-1.5000061035156,93,92.9866943359375,NaN,270.761993408203,NaN,1.00000001335143e-10,100.02,99.98,NaN,0,NaN,0,NaN,NaN,0.0419488213956356,12.2401037216187,1,NaN,NaN,NaN,NaN,0.0162837971001863,0.0256539788097143,NaN,NaN,248.962051391602,318.248687744141,NaN,NaN,0.405558746337891,0.319702575683594,NaN,NaN,0.221915915608406,0.332619726657867,NaN,NaN,-1.6612609863281,-0.891699218749977,NaN,NaN,4.03113842010498,8.15875339508057,NaN,NaN,0.0229215770959854,0.00559203093871474,NaN,NaN,-6.10351560226263e-06,-6.10351560226263e-06,-0.0282043457031023,-0.0112976074218523,0.0424743652343977,0.106347656250023,0.171197509765648,0.217034912109398,0.211297607421898,0.129144287109398,-0.0176757812499773,-0.379797363281227,-0.899359130859352,-1.6294006347656,-2.4945129394531,-3.4845031738281,-4.5169738769531,-5.5218566894531,-6.3931945800781,-7.04074707031248,-7.45551147460935,0.29299584031105,2.13792371749878,NaN,0.444915592670441,15.6944189071655,NaN,0.392460197210312,23.4974346160889,NaN,0.378580778837204,30.2864627838135,NaN,0.36800742149353,44.160888671875,-0.0506181195378304,-0.0496564097702503,-0.0435111410915852,-0.0407987833023071,-0.0382474958896637,-0.0355630479753017,-0.0330315008759499,-0.0307012908160686,-0.0284603368490934,-0.0274723097681999,-8.65876293182373,-15,-15,-15,-15,-15,-15,-15,-15,-15,3.41306781768799,1.92772161960602,0.0460128411650658,0,0,NaN,3.51996319866712,4.22747580159921e-05,NaN,0.0280128265851608,-1.23257978293358,1.81455276081065e-11,3.51996319866712,1.23257978293358,2.84972361119915,12.9065325362127,3.0765020636319,1.23257978293358
2015-09-28 00:00,-2.5,-2.5000061035156,85,87.980110168457,NaN,229.231002807617,NaN,1.00000001335143e-10,99.64,99.76,NaN,0,NaN,0,NaN,NaN,0.04205022752285,12.2665023803711,1,NaN,NaN,NaN,NaN,0.0164022371172905,0.0256434120237827,NaN,NaN,249.720367431641,318.379821777344,NaN,NaN,0.435366943359375,0.327508514404297,NaN,NaN,0.223030745983124,0.332851856946945,NaN,NaN,-1.50473632812498,-0.772558593749977,NaN,NaN,4.06385231018066,8.15717315673828,NaN,NaN,0.0321111157536507,0.00717223202809691,NaN,NaN,-6.10351560226263e-06,-6.10351560226263e-06,-6.10351560226263e-06,-6.10351560226263e-06,0.0209289550781477,0.0711608886718977,0.119317626953148,0.155603027343773,0.154412841796898,0.0942932128906477,-0.0199951171874773,-0.377905273437477,-0.895300292968727,-1.62143554687498,-2.48163452148435,-3.46683349609373,-4.49570312499998,-5.4990295410156,-6.37167968749998,-7.02347412109373,-7.44467773437498,0.329307734966278,2.0021960735321,NaN,0.464946448802948,15.2839946746826,NaN,0.390614449977875,23.2455615997314,NaN,0.375613152980804,30.04905128479,NaN,0.365657895803452,43.8789482116699,-0.0611667595803738,-0.0588022992014885,-0.0471594966948032,-0.043494176119566,-0.0403919108211994,-0.0371905714273453,-0.0341683477163315,-0.0314356461167336,-0.029014190658927,-0.0281632579863071,-8.39162731170654,-15,-15,-15,-15,-15,-15,-15,-15,-15,4.20348978042603,3.03881311416626,0.175426512956619,0,0,NaN,3.37016086400774,4.0475631976733e-05,NaN,0.0314920677194174,-1.09585620548364,1.85755810814255e-11,3.37016056109527,1.09585620548364,2.78172491040379,12.3572563783035,3.00845580557819,1.09585620548364
2015-09-29 00:00,3.2,3.80001220703127,91,87.9673690795898,NaN,327.286010742188,NaN,0.115000002086163,98.35,98.31,NaN,1.48130375237088e-05,NaN,0,NaN,NaN,0.0229296050965786,8.92407608032227,1,NaN,NaN,NaN,NaN,0.0170220993459225,0.0238379091024399,NaN,NaN,295.973937988281,331.725128173828,NaN,NaN,0.437035400390625,0.343332305908203,NaN,NaN,0.294950515031815,0.351260721683502,NaN,NaN,-1.64047851562498,-1.03256835937498,NaN,NaN,4.91589450836182,7.60935163497925,NaN,NaN,0.189982727169991,0.205838069319725,NaN,NaN,-6.10351560226263e-06,-6.10351560226263e-06,-6.10351560226263e-06,-6.10351560226263e-06,0.0338989257812727,0.0544982910156477,0.0833374023437727,0.109979248046898,0.110528564453148,0.0664611816406477,-0.0218566894531023,-0.376440429687477,-0.891088867187477,-1.61343994140623,-2.46896972656248,-3.44943847656248,-4.47470703124998,-5.47647705078123,-6.35037841796873,-7.00629272460935,-7.4338439941406,0.390901744365692,2.54016375541687,NaN,0.521387279033661,16.4887943267822,NaN,0.397711336612701,23.4618129730225,NaN,0.374653935432434,29.9723148345947,NaN,0.363590627908707,43.6308746337891,-0.0307774487882853,-0.0362387336790562,-0.044007133692503,-0.0444077178835869,-0.0423902459442616,-0.0389275811612606,-0.0354418493807316,-0.0323455072939396,-0.0297449957579374,-0.0289595015347004,-8.15075874328613,-15,-15,-15,-15,-15,-15,-15,-15,-15,4.83980798721313,4.0042610168457,0.367594420909882,0,0,NaN,3.76765866613451,4.52495805802755e-05,NaN,0.0326943486623667,-1.59344636070437,0.0218826290051482,3.78078810438718,1.61532890924839,2.88214039537888,13.8147481427361,3.10884311969325,1.61532890924839
2015-09-30 00:00,-0.7,-0.299993896484352,98,98.9977111816406,NaN,313.066009521484,NaN,1.00000001335143e-10,97.62,97.55,NaN,0,NaN,6.33348608971573e-05,NaN,NaN,0.0382731556892395,11.286789894104,1,NaN,NaN,NaN,NaN,0.0223036855459213,0.0160326268523932,NaN,NaN,343.6904296875,307.276428222656,NaN,NaN,0.3510703125,0.336061126708984,NaN,NaN,0.393155157566071,0.315629452466965,NaN,NaN,-6.10351560226263e-06,-6.10351560226263e-06,NaN,NaN,7.26010656356812,4.56327629089355,NaN,NaN,0.442966908216476,0.361404776573181,NaN,NaN,-6.10351560226263e-06,-0.0115417480468523,-6.10351560226263e-06,-0.00461425781247726,0.0206848144531477,0.0424743652343977,0.0649353027343977,0.0810180664062727,0.0787902832031477,0.0451904296875227,-0.0232910156249773,-0.375006103515602,-0.886846923828102,-1.60541381835935,-2.45648803710935,-3.43234863281248,-4.45401611328123,-5.45416870117185,-6.32926025390623,-6.98920288085935,-7.42301025390623,0.38493287563324,2.75468039512634,NaN,0.535978853702545,17.5278854370117,NaN,0.420581072568893,25.0367984771729,NaN,0.395246922969818,31.6197547912598,NaN,0.376455426216125,45.1746482849121,-0.0243566706776619,-0.0245388448238373,-0.0270834527909756,-0.0287441723048687,-0.0315246172249317,-0.0344753079116344,-0.0348291322588921,-0.0329536311328411,-0.0305298808962107,-0.0298632420599461,-7.9343695640564,-15,-15,-15,-15,-15,-15,-15,-15,-15,4.53362703323364,3.58663415908813,0.181626886129379,0,0,NaN,3.85973981731291,4.63554752059281e-05,NaN,0.0345713073304201,-1.40978034257139,1.58674570487845e-11,3.85973981731291,1.40978034257139,3.08338362920555,14.1523795920404,3.31000335550216,1.40978034257139
2015-10-01 00:00,-1.9,-1.60001220703123,93,94.9903335571289,NaN,302.674011230469,NaN,1.00000001335143e-10,99.71,99.59,NaN,0,NaN,4.99838388350327e-05,NaN,NaN,0.0719384923577309,19.1299819946289,1,NaN,NaN,NaN,NaN,0.0199999995529652,0.0331191383302212,NaN,NaN,263.100555419922,290.919555664063,NaN,NaN,0.274662628173828,0.337451721191406,NaN,NaN,0.243599951267242,0.288446933031082,NaN,NaN,-0.954626464843727,-0.259405517578102,NaN,NaN,5.25883722305298,9.40623569488525,NaN,NaN,0.00317401997745037,0.109470218420029,NaN,NaN,-6.10351560226263e-06,-6.10351560226263e-06,-0.0223754882812273,-0.00894775390622726,0.000268554687522737,0.0207763671875227,0.0421691894531477,0.0572143554687727,0.0556884765625227,0.0297180175781477,-0.0243286132812273,-0.373419189453102,-0.882574462890602,-1.59747924804685,-2.44418945312498,-3.41547241210935,-4.43356933593748,-5.4321350097656,-6.30832519531248,-6.97223510742185,-7.41217651367185,0.387174040079117,2.37444710731506,NaN,0.524129509925842,16.4526062011719,NaN,0.408987373113632,24.3411750793457,NaN,0.389279574155807,31.1423664093018,NaN,0.375815749168396,45.0978927612305,-0.0373929776251316,-0.036750253289938,-0.0334296673536301,-0.0325280986726284,-0.0319845527410507,-0.0319173000752926,-0.0321250520646572,-0.0319523736834526,-0.0306567344814539,-0.0307632237672806,-7.74008798599243,-15,-15,-15,-15,-15,-15,-15,-15,-15,4.9234037399292,4.13803052902222,0.181626886129379,0,0,NaN,3.64495760756936,4.37759408669081e-05,NaN,0.0284691250128275,-1.25316149279206,1.54734121732285e-11,3.64495760756936,1.25316149279206,2.9622525659907,13.3648450249224,3.18877021078374,1.25316149279206
2015-10-02 00:00,-4.9,-5.19998779296873,97,86.9834213256836,NaN,214.891998291016,NaN,1.00000001335143e-10,101.88,101.89,NaN,0,NaN,2.43212845893412e-20,NaN,NaN,0.0802447125315666,21.0316410064697,1,NaN,NaN,NaN,NaN,0.0199999995529652,0.0573796518146992,NaN,NaN,238.411285400391,271.143737792969,NaN,NaN,0.220266662597656,0.310602783203125,NaN,NaN,0.207289889454842,0.255084425210953,NaN,NaN,-3.35031738281248,-1.52997436523435,NaN,NaN,4.76822566986084,15.5549488067627,NaN,NaN,0,0,NaN,NaN,-6.10351560226263e-06,-6.10351560226263e-06,-6.10351560226263e-06,-6.10351560226263e-06,-0.0127014160156023,0.00765380859377274,0.0252624511718977,0.0375610351562727,0.0373168945312727,0.0179687500000227,-0.0250610351562273,-0.371649169921852,-0.878271484374977,-1.58957519531248,-2.4320129394531,-3.39887084960935,-4.41342773437498,-5.41031494140623,-6.28757324218748,-6.9553283691406,-7.4013732910156,0.415886223316193,1.99582743644714,NaN,0.532471358776093,15.4234580993652,NaN,0.405257642269135,23.8231754302979,NaN,0.383746743202209,30.6997394561768,NaN,0.37229460477829,44.6753540039063,-0.0617317408323288,-0.0554916225373745,-0.0392579920589924,-0.0365424379706383,-0.0346545465290546,-0.0332200936973095,-0.0322053134441376,-0.0314513929188251,-0.0303362756967545,-0.03147267177701,-7.5641622543335,-15,-15,-15,-15,-15,-15,-15,-15,-15,5.79717969894409,5.3877387046814,0.451423108577728,0,0,NaN,3.31846370088785,3.98547490476631e-05,NaN,0.0264257253326311,-0.929760095280924,1.73769783287636e-11,3.31846370088785,0.929760095280924,2.82907527952853,12.1677006152294,3.05558716898457,0.929760095280924
2015-10-03 00:00,-2.6,-2.39999999999998,86,85.9774169921875,NaN,257.549011230469,NaN,1.00000001335143e-10,101.05,101.02,NaN,0,NaN,4.37378162132518e-07,NaN,NaN,0.0820308029651642,21.5541305541992,1,NaN,NaN,NaN,NaN,0.0199999995529652,0.0610752813518047,NaN,NaN,239.069183349609,269.724517822266,NaN,NaN,0.221630172729492,0.312480773925781,NaN,NaN,0.207962065935135,0.252644538879395,NaN,NaN,-3.68179931640623,-1.8231262207031,NaN,NaN,4.77834367752075,16.4734554290771,NaN,NaN,0.00304000312462449,1.95936045201961e-05,NaN,NaN,-6.10351560226263e-06,-6.10351560226263e-06,-6.10351560226263e-06,-6.10351560226263e-06,-0.0163635253906023,-0.00177612304685226,0.0117736816406477,0.0219665527343977,0.0228210449218977,0.00884399414064774,-0.0256408691406023,-0.369726562499977,-0.873907470703102,-1.58170166015623,-2.42001953124998,-3.38251342773435,-4.3935607910156,-5.38876953124998,-6.26700439453123,-6.93854370117185,-7.39053955078123,0.455827593803406,1.64293432235718,NaN,0.543287694454193,14.2133922576904,NaN,0.407432585954666,23.4756450653076,NaN,0.379182934761047,30.3346366882324,NaN,0.368669152259827,44.2402992248535,-0.108238942921162,-0.0934548303484917,-0.0438137911260128,-0.0402750559151173,-0.0376666970551014,-0.0352753810584545,-0.033299382776022,-0.031761035323143,-0.0303246229887009,-0.0320366285741329,-7.40301895141602,-15,-15,-15,-15,-15,-15,-15,-15,-15,6.85330724716187,6.89411067962646,0.889775037765503,0,0,NaN,3.26382919551214,3.91985886381008e-05,NaN,0.0288889252052154,-1.07441977128501,1.74294837042383e-11,3.26382919551214,1.07441977128501,2.68788262610428,11.9673737105672,2.91331160346746,1.07441977128501
2015-10-04 00:00,0.8,0.899987792968773,90,84.9686279296875,NaN,258.755004882813,NaN,1.00000001335143e-10,100.34,100.36,NaN,0,NaN,0,NaN,NaN,0.0827952399849892,21.7883930206299,1,NaN,NaN,NaN,NaN,0.0199999995529652,0.0624217316508293,NaN,NaN,241.176300048828,269.800018310547,NaN,NaN,0.235161178588867,0.316466003417969,NaN,NaN,0.210838943719864,0.252725154161453,NaN,NaN,-3.3897766113281,-1.6574768066406,NaN,NaN,4.81439638137817,16.8413982391357,NaN,NaN,0.00912956334650517,7.1501849561173e-06,NaN,NaN,-0.0929931640624773,-0.0918640136718523,-0.0350097656249773,-0.0693420410156023,-0.0160278320312273,-0.00781860351560226,0.00283203125002274,0.0107666015625227,0.0117736816406477,0.00173339843752274,-0.0260375976562273,-0.367681884765602,-0.869451904296852,-1.5738586425781,-2.40811767578123,-3.36636962890623,-4.37393798828123,-5.36749877929685,-6.24661865234373,-6.92185058593748,-7.37973632812498,0.485791921615601,1.26124262809753,NaN,0.548863053321838,13.0789813995361,NaN,0.412950783967972,23.3000049591064,NaN,0.37682431936264,30.1459445953369,NaN,0.366526007652283,43.9831199645996,-0.232144609093666,-0.158875837922096,-0.0463423915207386,-0.0423706769943237,-0.0395843237638474,-0.0369104668498039,-0.0345140211284161,-0.032470665872097,-0.0307079274207354,-0.0325920209288597,-7.25462007522583,-15,-15,-15,-15,-15,-15,-15,-15,-15,7.75286436080933,8.13887119293213,1.35444688796997,0,0,NaN,3.19121895521975,3.83265396521892e-05,NaN,0.0290149207278622,-1.18244559138101,1.74201079804727e-11,3.19121895521975,1.18244559138101,2.55019254961146,11.7011361281197,2.77211440635611,1.18244559138101
2015-10-05 00:00,-1.2,-0.799993896484352,98,96.9937362670898,NaN,307.516998291016,NaN,1.00000001335143e-10,100.63,100.64,NaN,0,NaN,8.3678960436373e-06,NaN,NaN,0.0806602537631989,22.1193790435791,1,NaN,NaN,NaN,NaN,0.0191637221723795,0.0628362596035004,NaN,NaN,244.066192626953,274.101257324219,NaN,NaN,0.268567932128906,0.319888519287109,NaN,NaN,0.214643120765686,0.258610427379608,NaN,NaN,-0.780432128906227,-0.399938964843727,NaN,NaN,4.50610685348511,16.9635181427002,NaN,NaN,0.169062301516533,0.259737640619278,NaN,NaN,-0.0307373046874773,-0.0236877441406023,-0.0148376464843523,-0.0215515136718523,-0.00983276367185226,-0.00781860351560226,-0.00278320312497726,0.00274047851564774,0.00374755859377274,-0.00345458984372726,-0.0263427734374773,-0.365545654296852,-0.864935302734352,-1.5660461425781,-2.3963684082031,-3.35043945312498,-4.35458984374998,-5.3464416503906,-6.2264465332031,-6.9052795410156,-7.36896362304685,0.504616498947144,1.33835577964783,NaN,0.551652252674103,13.1004056930542,NaN,0.41671958565712,23.2690696716309,NaN,0.376010328531265,30.0808258056641,NaN,0.365406721830368,43.8488082885742,-0.19560407102108,-0.157225534319878,-0.0468046963214874,-0.0431221090257168,-0.0406289920210838,-0.0380766950547695,-0.0355759933590889,-0.0332853943109512,-0.0313186906278133,-0.0332219079136848,-7.11798620223999,-15,-15,-15,-15,-15,-15,-15,-15,-15,8.02739429473877,8.22153186798096,1.59017407894135,0,0,NaN,3.25968383831188,3.91488028981257e-05,NaN,0.0135701538820797,-1.26230386454392,1.63411448848474e-11,3.25968383831188,1.26230386454392,2.56899917344303,11.9521748405574,2.78613683058075,1.26230386454392
2015-10-06 00:00,-3.5,-3.5000061035156,88,87.9819107055664,NaN,296.842010498047,NaN,1.00000001335143e-10,100.8,100.8,NaN,0,NaN,8.364883115064e-07,NaN,NaN,0.0888582095503807,23.4054946899414,1,NaN,NaN,NaN,NaN,0.0196893345564604,0.0656933709979057,NaN,NaN,225.067855834961,280.575347900391,NaN,NaN,0.317842712402344,0.34342919921875,NaN,NaN,0.189532905817032,0.269819051027298,NaN,NaN,-1.82120361328123,-0.455419921874977,NaN,NaN,4.42683553695679,18.196117401123,NaN,NaN,0,0.230492383241653,NaN,NaN,-6.10351560226263e-06,-6.10351560226263e-06,-6.10351560226263e-06,-6.10351560226263e-06,-0.0246948242187273,-0.0157531738281023,-0.00818481445310226,-0.00272216796872726,-0.00186767578122726,-0.00733032226560226,-0.0264953613281023,-0.363317871093727,-0.860418701171852,-1.55826416015623,-2.3847717285156,-3.3347229003906,-4.3354553222656,-5.32559814453123,-6.2064270019531,-6.88876953124998,-7.35819091796873,0.514381587505341,1.25283682346344,NaN,0.556606888771057,13.0426807403564,NaN,0.420096844434738,23.166841506958,NaN,0.375117182731628,30.0093765258789,NaN,0.364641100168228,43.7569313049316,-0.236668184399605,-0.161718010902405,-0.048369999974966,-0.0439638569951057,-0.041361328214407,-0.0388476587831974,-0.0363936088979244,-0.0340605564415455,-0.0320116505026817,-0.0339424423873425,-6.9924635887146,-15,-15,-15,-15,-15,-15,-15,-15,-15,8.2849063873291,8.45620155334473,1.86973476409912,0,0,NaN,3.13750621250099,3.76814496121369e-05,-0.00445,0.00376259788660293,-1.06990116912128,1.52249510854817e-11,3.13750621250099,1.06990116912128,2.55971944981645,11.5041897739922,2.76985740551584,1.06990116912128
2015-10-07 00:00,-8.3,-7.19998779296873,94,88.9878005981445,NaN,254.522994995117,NaN,1.00000001335143e-10,100.85,100.84,NaN,0,NaN,0,NaN,NaN,0.0900491774082184,23.6092185974121,1,NaN,NaN,NaN,NaN,0.0199999138712883,0.0637938603758812,0.0350111424922943,NaN,210.40705871582,277.487945556641,277.293762207031,NaN,0.301429809570313,0.354343658447266,0.356332397460937,NaN,0.212080463767052,0.260719776153564,0.264313846826553,NaN,-4.30020751953123,-2.10935058593748,-1.6555236816406,NaN,4.20812320709229,17.7032241821289,9.70837211608887,NaN,0,0,0,NaN,-0.599218749999977,-6.10351560226263e-06,-6.10351560226263e-06,-0.119848632812477,-0.0314697265624773,-0.0207885742187273,-0.0130371093749773,-0.00781860351560226,-0.00638427734372726,-0.0102294921874773,-0.0265869140624773,-0.361090087890602,-0.855871582031227,-1.55051269531248,-2.37326660156248,-3.3192199707031,-4.31659545898435,-5.30502929687498,-6.18662109374998,-6.87238159179685,-7.3474182128906,0.533487498760223,0.841815531253815,NaN,0.558315396308899,11.5174312591553,NaN,0.427465170621872,22.9568195343018,NaN,0.373520463705063,29.8816375732422,NaN,0.363489180803299,43.6187019348145,-0.74556827545166,-0.357543915510178,-0.0517756752669811,-0.0455151200294495,-0.0424910970032215,-0.0397417098283768,-0.0371829830110073,-0.0347973629832268,-0.0327117592096329,-0.0347399711608887,-6.87734651565552,-15,-15,-15,-15,-15,-15,-15,-15,-15,9.01221656799316,9.91752433776855,2.46772980690002,0,0,NaN,2.81487141073225,3.38066056428943e-05,NaN,0.00248613982116504,-0.837867828961799,1.53418093218807e-11,2.81487141073225,0.837867828961799,2.37282472549217,10.3211946899181,2.57304668991433,0.837867828961799
